GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
TravelService,com.travel.service.service.impl,TravelServiceImpl,34,150,3,3,6,25,3,12,1,11
TravelService,com.travel.service.constant,ErrorConstant,3,0,0,0,1,0,1,0,1,0
TravelService,com.travel.service,TravelServiceApplication,5,3,0,0,2,1,1,1,1,1
TravelService,com.travel.service.entity,Travel,0,52,0,0,0,22,0,15,0,15
TravelService,com.travel.service.dto,User,38,0,0,0,16,0,11,0,11,0
TravelService,com.travel.service.dto,TravelResponseResultsDto,8,27,0,0,4,10,2,5,2,5
TravelService,com.travel.service.dto,Train,24,0,0,0,10,0,7,0,7,0
TravelService,com.travel.service.dto,TrainDetailsRequestDto,17,0,0,0,7,0,5,0,5,0
TravelService,com.travel.service.dto,UserResponseDTO,24,0,0,0,10,0,7,0,7,0
TravelService,com.travel.service.dto,TrainDetailsResponseDto,14,16,0,0,6,7,4,3,4,3
TravelService,com.travel.service.dto,TravelTrainResponseResultsDto,8,27,0,0,4,10,2,5,2,5
TravelService,com.travel.service.dto,TravelTrainDTO,60,27,0,0,26,10,17,2,17,2
TravelService,com.travel.service.dto,ResponseDTO,8,15,0,0,4,6,2,3,2,3
TravelService,com.travel.service.dto,TravelDTO,0,73,0,0,0,30,0,15,0,15
TravelService,com.travel.service.dto,UserRequestDTO,33,0,0,0,14,0,7,0,7,0
TravelService,com.travel.service.dto,TrainResponseDto,12,0,0,0,5,0,3,0,3,0
TravelService,com.travel.service.dto,TravelRequestDTO,0,46,0,0,0,19,0,13,0,13
TravelService,com.travel.service.dto,TrainDetailsDto,9,15,0,0,3,7,3,4,3,4
TravelService,com.travel.service.dto,TrainResponseResultsDto,8,27,0,0,4,10,2,5,2,5
TravelService,com.travel.service.controller,TravelController,0,99,1,1,0,19,1,6,0,6
TravelService,com.travel.service.exception,ServiceNotAvailableException,0,4,0,0,0,2,0,1,0,1
TravelService,com.travel.service.exception,TravelNotFoundException,0,4,0,0,0,2,0,1,0,1
TravelService,com.travel.service.exception,GlobalExceptionHandler,52,68,0,0,12,15,3,5,3,5
TravelService,com.travel.service.exception,ValidationErrorResponse,12,30,0,0,6,11,3,6,3,6
TravelService,com.travel.service.exception,ErrorResponse,0,17,0,0,0,7,0,5,0,5
TravelService,com.travel.service.exception,TrainNotFoundException,4,0,0,0,2,0,1,0,1,0
